"Hotel Name",Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax
Nexstay Kites Inn,4.3,Excellent,36,3,Hosur road,,,"2,799",
The Leela Palace Bengaluru,4.5,Excellent,1048,5,HAL old airport road,,,"16,500",
Omatra Infantry Road | Rooms in a Homestay,3.8,Very Good,319,,Infantry Road ,MG Road,1.4 km ,"2,098",554
Bloom Hotel HSR Layout Sector 3,3.9,Very Good,24,3,HSR Layout,,,"5,500",
NOOR EMPIRE INTERNATIONAL,3.7,Very Good,1552,3,Koramangala,,,"2,776",752
Attide Biz,3.5,Very Good,468,3,Hebbal,,,"2,835",693
Stayhome Classic,4.3,Excellent,285,,Bilekahalli,,,"2,345",642
DoubleTree Suites by Hilton,4.3,Excellent,849,5,Outer Ring Road,,,"9,500",
Bloomrooms @ Indiranagar,4.1,Very Good,874,3,Indiranagar,,,"4,300",
RG Royal Hotel,4.2,Very Good,875,4,Yeshwanthpur,,,"3,666",741
Four Seasons Hotel Bengaluru at Embassy One,4.8,Excellent,302,5,Ganganagar ,Palace Grounds,990 m ,"14,875",
Ramee Strand inn,3,Good,348,3,Hosur road,,,"1,505",396
Shravanthi Sarovar Portico JP Nagar,3.6,Very Good,139,4,Outer Ring Road,,,"3,977",804
"Vivanta Bengaluru, Whitefield",4.3,Excellent,959,5,Whitefield,,,"7,500",
"Melange Astris
Like a 3",4.1,Very Good,1006,,Richmond road ,Cubbon Park,2.5 km ,"4,300",969
Octave Church Inn,3.5,Very Good,712,3,Church Street ,MG Road,94 m ,"1,669",337
Mastiff Infantry Bengaluru,4,Very Good,221,3,Infantry Road ,MG Road,1.8 km ,"1,865",569
